,0,1,2,3
2010,,,,
2011,,,,
2012,,,,
2013,0.0411,0.3430,0.1981,0.1843
2014,0.0322,0.3135,0.0488,-0.0052
2015,0.0241,0.2940,0.0369,-0.0212
2016,0.0231,0.2714,0.0619,0.0266
2017,0.0172,0.2550,0.0887,0.0863
2018,0.0158,0.2330,0.0806,0.0821
2019,0.0105,0.2107,0.0761,0.0813
2020,0.0064,0.1707,0.0250,0.0310
