,0,1,2,3
2010,,,,
2011,0.0195,0.1104,0.1411,0.1567
2012,0.0121,0.1024,0.0424,0.0354
2013,0.0089,0.0971,0.0073,-0.0112
2014,0.0108,0.0860,-0.0012,-0.0284
2015,0.0041,0.0860,0.0306,0.0188
2016,0.0080,0.0780,0.0315,0.0371
2017,0.0050,0.0720,0.0241,0.0281
2018,0.0027,0.0670,0.0229,0.0149
2019,0.0027,0.0585,0.0272,0.0363
2020,0.0010,0.0366,-0.0245,-0.0197
